favorite,underdog,spread,favorite_win_prob,underdog_win_prob,favorite_ev,is_3pt_underdog,underdog_ev,pick,actual_winner
DAL,CHI,1.5,0.5825330498847887,0.4174669501152113,0.5825330498847887,False,0.8349339002304226,CHI,CHI
SF,ARI,1.5,0.4960153035934242,0.5039846964065757,0.4960153035934242,False,1.0079693928131515,ARI,SF
KC,NYG,6.0,0.6742049964353691,0.32579500356463087,0.6742049964353691,False,0.6515900071292617,KC,KC
BAL,DET,4.5,0.6405429083155804,0.35945709168441964,0.6405429083155804,False,0.7189141833688393,DET,DET
SEA,ARI,1.5,0.5936464373757651,0.40635356262423494,0.5936464373757651,False,0.8127071252484699,ARI,SEA
MIN,PIT,2.5,0.646592187285344,0.35340781271465604,0.646592187285344,False,0.7068156254293121,PIT,PIT
ATL,WAS,2.5,0.547201953021671,0.45279804697832904,0.547201953021671,False,0.9055960939566581,WAS,ATL
BUF,NO,15.5,0.9355219089119364,0.06447809108806357,0.9355219089119364,True,0.19343427326419071,BUF,BUF
DET,CLE,10.0,0.8136233953280101,0.1863766046719899,0.8136233953280101,True,0.5591298140159697,DET,DET
HOU,TEN,7.5,0.7133770310656771,0.28662296893432293,0.7133770310656771,True,0.8598689068029688,TEN,HOU
NE,CAR,5.5,0.6878913470047431,0.3121086529952569,0.6878913470047431,False,0.6242173059905138,NE,NE
LAC,NYG,6.0,0.706897678444208,0.29310232155579197,0.706897678444208,False,0.5862046431115839,LAC,NYG
PHI,TB,3.5,0.664170544103464,0.335829455896536,0.664170544103464,False,0.671658911793072,TB,PHI
LA,IND,3.5,0.5532153053417238,0.4467846946582762,0.5532153053417238,False,0.8935693893165524,IND,LA
SF,JAX,3.5,0.5938076861330615,0.40619231386693855,0.5938076861330615,False,0.8123846277338771,JAX,JAX
BAL,KC,2.5,0.6132109793213242,0.3867890206786758,0.6132109793213242,False,0.7735780413573516,KC,KC
LV,CHI,1.5,0.5040917967312424,0.4959082032687576,0.5040917967312424,False,0.9918164065375152,CHI,CHI
GB,DAL,7.0,0.7791234020629946,0.22087659793700543,0.7791234020629946,True,0.6626297938110163,GB,GB
MIA,NYJ,2.5,0.5389933020066404,0.4610066979933596,0.5389933020066404,False,0.9220133959867192,NYJ,MIA
DEN,CIN,7.5,0.7429363201583535,0.25706367984164646,0.7429363201583535,True,0.7711910395249394,CIN,DEN
LA,SF,8.5,0.7494826891729656,0.25051731082703443,0.7494826891729656,True,0.7515519324811033,SF,SF
MIN,CLE,3.5,0.6744429187658896,0.3255570812341104,0.6744429187658896,False,0.6511141624682208,MIN,MIN
HOU,BAL,2.5,0.6290407882579858,0.3709592117420142,0.6290407882579858,False,0.7419184234840284,BAL,HOU
MIA,CAR,1.5,0.5900823268444033,0.4099176731555967,0.5900823268444033,False,0.8198353463111934,CAR,CAR
IND,LV,7.0,0.713103640467732,0.286896359532268,0.713103640467732,True,0.860689078596804,LV,IND
NO,NYG,1.5,0.5668128678715987,0.4331871321284013,0.5668128678715987,False,0.8663742642568026,NYG,NO
NYJ,DAL,1.5,0.6053462607588143,0.39465373924118574,0.6053462607588143,False,0.7893074784823715,DAL,DAL
PHI,DEN,3.5,0.5838612384471601,0.4161387615528399,0.5838612384471601,False,0.8322775231056798,DEN,DEN
ARI,TEN,7.5,0.7039325828289936,0.2960674171710064,0.7039325828289936,True,0.8882022515130191,TEN,TEN
SEA,TB,3.5,0.6255963277462268,0.37440367225377325,0.6255963277462268,False,0.7488073445075465,TB,TB
DET,CIN,10.5,0.7915069670446401,0.20849303295535992,0.7915069670446401,True,0.6254790988660798,DET,DET
LAC,WAS,2.5,0.5177527794077106,0.4822472205922894,0.5177527794077106,False,0.9644944411845788,WAS,WAS
BUF,NE,7.5,0.7894403954136789,0.21055960458632106,0.7894403954136789,True,0.6316788137589632,BUF,NE
KC,JAX,3.5,0.6343281910069789,0.3656718089930211,0.6343281910069789,False,0.7313436179860422,JAX,JAX
PHI,NYG,7.0,0.6936269494646288,0.3063730505353712,0.6936269494646288,True,0.9191191516061137,NYG,NYG
DEN,NYJ,7.5,0.7772998600212184,0.22270013997878157,0.7772998600212184,True,0.6681004199363447,DEN,DEN
LA,BAL,7.0,0.7631473177336512,0.2368526822663488,0.7631473177336512,True,0.7105580467990464,LA,LA
DAL,CAR,3.0,0.6418114715639849,0.3581885284360151,0.6418114715639849,False,0.7163770568720302,CAR,CAR
IND,ARI,8.5,0.7616700263941254,0.2383299736058746,0.7616700263941254,True,0.7149899208176238,IND,IND
SEA,JAX,1.5,0.5514365619034827,0.44856343809651733,0.5514365619034827,False,0.8971268761930347,JAX,SEA
LAC,MIA,3.5,0.656624229825248,0.34337577017475196,0.656624229825248,False,0.6867515403495039,MIA,LAC
NE,NO,3.5,0.5996884018870077,0.40031159811299233,0.5996884018870077,False,0.8006231962259847,NO,NE
PIT,CLE,5.5,0.627057058311139,0.372942941688861,0.627057058311139,False,0.745885883377722,CLE,PIT
LV,TEN,3.5,0.586344084328949,0.413655915671051,0.586344084328949,False,0.827311831342102,TEN,LV
GB,CIN,14.0,0.8905757087245629,0.10942429127543707,0.8905757087245629,True,0.3282728738263112,GB,GB
TB,SF,3.5,0.5895239224731008,0.4104760775268992,0.5895239224731008,False,0.8209521550537984,SF,TB
KC,DET,2.5,0.5821330109909908,0.4178669890090092,0.5821330109909908,False,0.8357339780180184,DET,KC
BUF,ATL,3.5,0.6445256434843029,0.35547435651569714,0.6445256434843029,False,0.7109487130313943,ATL,ATL
WAS,CHI,5.5,0.6626952564673362,0.3373047435326638,0.6626952564673362,False,0.6746094870653276,CHI,CHI
PIT,CIN,5.5,0.6590350745052358,0.3409649254947642,0.6590350745052358,False,0.6819298509895284,CIN,CIN
LA,JAX,3.0,0.655978962077473,0.34402103792252703,0.655978962077473,False,0.6880420758450541,JAX,LA
CHI,NO,4.5,0.6272590876635269,0.3727409123364731,0.6272590876635269,False,0.7454818246729462,NO,CHI
CLE,MIA,2.5,0.5486715848682695,0.4513284151317305,0.5486715848682695,False,0.902656830263461,MIA,CLE
